City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
61,Sahuaripa,MX,2020-11-08 00:39:04,29.05,-109.23,75.49,56,0,11.34,clear sky
62,Yerbogachen,RU,2020-11-08 00:39:04,61.28,108.01,5.4,94,100,5.39,overcast clouds
63,Katsuura,JP,2020-11-08 00:39:04,35.13,140.3,70.0,72,75,4.7,broken clouds
64,Kutum,SD,2020-11-08 00:39:05,14.2,24.67,62.85,36,1,6.35,clear sky
65,Thompson,CA,2020-11-08 00:39:05,55.74,-97.86,15.8,92,90,5.82,light snow
66,Punta Arenas,CL,2020-11-08 00:37:20,-53.15,-70.92,53.6,66,40,27.51,scattered clouds
67,Richards Bay,ZA,2020-11-08 00:34:07,-28.78,32.04,72.95,88,0,6.15,clear sky
68,Yaviza,PA,2020-11-08 00:39:05,8.15,-77.69,72.55,90,27,0.96,scattered clouds
69,Butaritari,KI,2020-11-08 00:39:05,3.07,172.79,81.28,72,11,10.22,few clouds
70,Fairbanks,US,2020-11-08 00:37:11,64.84,-147.72,24.01,94,100,1.57,overcast clouds
71,Jeremie,HT,2020-11-08 00:39:05,18.65,-74.12,79.12,77,100,0.76,light rain
72,Ewa Beach,US,2020-11-08 00:38:26,21.32,-158.01,87.8,55,40,6.93,scattered clouds
73,Komsomolskiy,UZ,2020-11-08 00:34:27,40.43,71.72,44.6,28,0,6.93,clear sky
74,Tura,IN,2020-11-08 00:39:05,25.52,90.22,64.62,86,0,3.58,clear sky
75,Manbij,SY,2020-11-08 00:39:05,36.53,37.95,50.0,71,0,8.05,clear sky
76,Chuy,UY,2020-11-08 00:39:05,-33.7,-53.46,59.41,94,0,5.82,clear sky
77,Guerrero Negro,MX,2020-11-08 00:39:06,27.98,-114.06,64.58,69,0,17.4,clear sky
78,Bredasdorp,ZA,2020-11-08 00:39:06,-34.53,20.04,59.0,82,12,13.87,few clouds
79,Wamba,NG,2020-11-08 00:39:06,8.93,8.6,74.12,44,0,3.96,clear sky
80,Saint-Augustin,CA,2020-11-08 00:39:06,51.23,-58.65,31.6,90,94,14.61,overcast clouds
81,Kruisfontein,ZA,2020-11-08 00:37:36,-34.0,24.73,55.99,91,0,1.01,clear sky
82,Atherton,GB,2020-11-08 00:39:06,53.52,-2.49,51.01,78,100,1.01,overcast clouds
83,Mackenzie,CA,2020-11-08 00:39:06,55.3,-123.17,30.2,54,90,4.7,overcast clouds
84,Boa Vista,BR,2020-11-08 00:36:31,2.82,-60.67,77.0,88,75,4.7,broken clouds
85,Bethel,US,2020-11-08 00:37:29,41.37,-73.41,59.0,76,1,3.36,clear sky
86,East London,ZA,2020-11-08 00:37:38,-33.02,27.91,69.91,81,0,17.45,clear sky
87,Ayan,RU,2020-11-08 00:39:06,56.45,138.17,11.19,86,99,18.32,overcast clouds
88,Aleksandrovsk,RU,2020-11-08 00:39:07,59.16,57.56,32.0,99,99,4.27,overcast clouds
89,Surt,LY,2020-11-08 00:37:31,31.21,16.59,67.89,70,9,7.78,light rain
90,Nakapiripirit,UG,2020-11-08 00:39:07,1.92,34.78,66.81,79,90,3.09,light rain
91,Bengkulu,ID,2020-11-08 00:39:07,-3.8,102.27,80.91,74,99,1.88,overcast clouds
92,Atuona,PF,2020-11-08 00:37:13,-9.8,-139.03,77.47,79,16,13.4,light rain
93,Lompoc,US,2020-11-08 00:39:07,34.64,-120.46,55.4,66,75,11.41,broken clouds
94,Vao,NC,2020-11-08 00:39:07,-22.67,167.48,73.85,71,22,12.48,few clouds
95,Cabo San Lucas,MX,2020-11-08 00:35:57,22.89,-109.91,80.6,74,5,8.05,clear sky
96,Tasiilaq,GL,2020-11-08 00:37:06,65.61,-37.64,26.6,63,91,2.24,overcast clouds
97,Talara,PE,2020-11-08 00:36:03,-4.58,-81.27,64.45,86,50,14.65,scattered clouds
98,Sungairaya,ID,2020-11-08 00:39:07,0.7,108.9,84.52,67,86,3.33,overcast clouds
99,Ostrovnoy,RU,2020-11-08 00:38:18,68.05,39.51,32.99,94,20,17.85,few clouds
100,Akropong,GH,2020-11-08 00:39:07,5.97,-0.09,80.6,74,20,5.82,few clouds
101,Airai,TL,2020-11-08 00:39:07,-8.93,125.41,78.69,36,14,4.52,few clouds
102,Kaitangata,NZ,2020-11-08 00:39:08,-46.28,169.85,53.01,43,0,11.99,clear sky
103,Fort Nelson,CA,2020-11-08 00:39:08,58.81,-122.7,15.8,85,20,2.24,few clouds
104,Khorixas,NA,2020-11-08 00:39:08,-20.37,14.97,66.02,37,1,5.03,clear sky
105,Lahijan,IR,2020-11-08 00:39:08,37.21,50.0,62.6,88,90,6.93,overcast clouds
106,Sitka,US,2020-11-08 00:37:33,57.05,-135.33,39.2,69,1,2.08,clear sky
107,Tuktoyaktuk,CA,2020-11-08 00:39:08,69.45,-133.04,26.6,79,40,19.46,scattered clouds
108,Chinhoyi,ZW,2020-11-08 00:39:08,-17.37,30.2,73.65,27,0,6.15,clear sky
109,Camacha,PT,2020-11-08 00:36:29,33.08,-16.33,66.2,77,20,10.29,few clouds
110,Prince Albert,CA,2020-11-08 00:34:41,53.2,-105.77,23.0,85,90,19.46,snow
111,Barrow,US,2020-11-08 00:39:08,71.29,-156.79,30.2,86,90,21.92,light snow
112,Talnakh,RU,2020-11-08 00:39:08,69.49,88.4,19.4,85,75,20.13,light shower snow
113,Avarua,CK,2020-11-08 00:39:08,-21.21,-159.78,78.8,74,48,7.9,scattered clouds
114,Boende,CD,2020-11-08 00:39:08,-0.22,20.87,70.23,89,98,1.68,overcast clouds
115,Berlevag,NO,2020-11-08 00:39:08,70.86,29.09,39.25,74,94,32.68,overcast clouds
116,Puerto Madero,MX,2020-11-08 00:34:27,14.72,-92.42,75.2,100,90,17.22,heavy intensity rain
117,Matamoros,MX,2020-11-08 00:39:09,25.53,-103.25,82.4,20,5,7.72,clear sky
118,Cidreira,BR,2020-11-08 00:39:09,-30.18,-50.21,67.84,85,18,15.79,few clouds
119,Ginir,ET,2020-11-08 00:39:09,7.13,40.7,56.89,92,98,3.38,overcast clouds
120,Daru,PG,2020-11-08 00:39:09,-9.08,143.21,82.13,75,80,0.83,broken clouds
121,Yeppoon,AU,2020-11-08 00:39:09,-23.13,150.73,82.4,48,40,16.11,scattered clouds
122,Joshimath,IN,2020-11-08 00:39:09,30.57,79.57,47.98,30,0,7.27,clear sky
123,Pangnirtung,CA,2020-11-08 00:38:30,66.15,-65.71,4.1,85,82,3.49,broken clouds
124,Poum,NC,2020-11-08 00:39:09,-20.23,164.02,76.51,81,5,19.89,clear sky
125,Yellowknife,CA,2020-11-08 00:39:09,62.46,-114.35,6.01,84,40,3.36,light snow
126,Den Helder,NL,2020-11-08 00:39:10,52.96,4.76,48.2,93,0,6.93,mist
127,Faanui,PF,2020-11-08 00:38:27,-16.48,-151.75,79.38,75,100,11.48,overcast clouds
128,Kizukuri,JP,2020-11-08 00:39:10,40.81,140.39,57.99,87,40,4.7,scattered clouds
129,San Patricio,US,2020-11-08 00:39:10,28.02,-97.52,73.4,83,20,13.87,few clouds
130,Balkhash,KZ,2020-11-08 00:39:10,46.84,74.98,45.86,55,100,13.33,overcast clouds
131,Vila Velha,BR,2020-11-08 00:34:36,-20.33,-40.29,77.0,83,90,2.24,overcast clouds
132,Soma,TR,2020-11-08 00:39:10,39.19,27.61,57.2,76,0,3.36,clear sky
133,Kodiak,US,2020-11-08 00:36:30,57.79,-152.41,44.6,87,90,18.34,moderate rain
134,Sanming,CN,2020-11-08 00:39:10,26.25,117.62,70.0,65,58,3.85,broken clouds
135,Abu Kamal,SY,2020-11-08 00:39:10,34.45,40.92,62.51,61,96,3.65,overcast clouds
136,Salalah,OM,2020-11-08 00:39:10,17.02,54.09,73.4,56,0,3.36,clear sky
137,Presidencia Roque Saenz Pena,AR,2020-11-08 00:36:03,-26.79,-60.44,75.96,46,1,7.23,clear sky
138,Valparaiso,CL,2020-11-08 00:37:53,-33.04,-71.63,53.6,93,75,4.7,mist
139,Rocha,UY,2020-11-08 00:39:11,-34.48,-54.33,56.52,95,0,4.32,clear sky
140,Beringovskiy,RU,2020-11-08 00:39:11,63.05,179.32,28.71,94,100,11.45,overcast clouds
141,Sao Filipe,CV,2020-11-08 00:38:01,14.9,-24.5,79.29,76,90,8.68,overcast clouds
142,Iqaluit,CA,2020-11-08 00:39:11,63.75,-68.51,8.6,78,75,3.36,light snow
143,Georgetown,MY,2020-11-08 00:39:11,5.41,100.34,78.8,94,20,4.03,few clouds
144,Misratah,LY,2020-11-08 00:39:11,32.38,15.09,69.55,62,61,10.27,broken clouds
145,Panormos,GR,2020-11-08 00:39:11,35.42,24.69,64.99,70,84,1.01,light rain
146,Longyearbyen,SJ,2020-11-08 00:34:37,78.22,15.64,30.2,80,75,4.7,broken clouds
147,Davenport,US,2020-11-08 00:36:02,41.52,-90.58,63.0,55,1,8.05,clear sky
148,Tsabong,BW,2020-11-08 00:39:12,-26.02,22.4,76.87,24,0,10.31,clear sky
149,Lata,PT,2020-11-08 00:39:12,40.16,-8.33,61.0,90,86,3.0,overcast clouds
150,Sisimiut,GL,2020-11-08 00:37:25,66.94,-53.67,14.32,84,51,11.14,broken clouds
151,Hami,CN,2020-11-08 00:39:12,42.8,93.45,38.53,60,52,7.49,broken clouds
